subject_id,task_id,file,avg_x,avg_y,time,_lsl_timestamp,trial_id,llm_model,prompt_type,llm_provider,trial_start,trial_end
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6171675,0.6153186,350.3295,719.9001372019414,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.65346634,0.62339526,367.01187,719.9168195593688,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6524989,0.6106377,383.6942,719.9335019167961,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.5827896,0.6202679,400.3766,719.9501842742235,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.60374564,0.6226025,417.05893,719.9668666316508,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.64240354,0.61252964,433.7413,719.9835489890781,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.641684,0.58293384,450.42365,720.0002313465054,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.658481,0.5901561,467.10602,720.0169137039328,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6624825,0.6167993,483.78836,720.0335960613601,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.7042644,0.56712633,500.47073,720.0502784187875,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6432787,0.57913023,517.1531,720.0669607762147,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.66141486,0.57190865,533.83545,720.0836431336421,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.7131031,0.5726284,550.5178,720.1003254910694,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6882922,0.55061746,567.20013,720.1170078484968,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.69155645,0.54097354,583.8825,720.133690205924,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.67077583,0.61484164,600.5649,720.1503725633514,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.65067625,0.5783395,617.24725,720.1670549207787,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6893872,0.5408096,633.92957,720.1837372782061,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.69043446,0.5494686,650.61194,720.2004196356334,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6657373,0.5597179,667.2943,720.2171019930607,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.67846173,0.53480077,683.9767,720.233784350488,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6923374,0.54945344,700.659,720.2504667079154,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6763436,0.5202296,717.3414,720.2671490653427,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6945407,0.52074486,734.02374,720.28383142277,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6994888,0.5215726,750.70605,720.3005137801973,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.69916856,0.5094476,767.3884,720.3171961376247,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
1,,C:\Users\elahe\OneDrive - Oklahoma A and M System\Elahe-oveisi-osu-resaerch\Github\igaze\data\sub-P001_ses-S001_task-Default_run-001_sar.xdf,0.6890125,0.46485218,784.0708,720.333878495052,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
