lsl_timestamp,avg_x,avg_y,time,trial_id,llm_model,prompt_type,llm_provider,trial_start,trial_end
719.5498076959676,0.5210623,0.6667647,0.0,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.5664900533949,0.5418179,0.6832131,16.682358,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.5831724108223,0.46150407,0.6430499,33.364716,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.5998547682495,0.51608,0.65003693,50.047073,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.6165371256769,0.5453645,0.6602287,66.72943,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.6332194831042,0.55835897,0.66817683,83.41179,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.6499018405316,0.5505869,0.66596395,100.09415,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.6665841979589,0.57361144,0.6854884,116.776505,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.6832665553862,0.55558294,0.6446545,133.45886,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.6999489128135,0.5668747,0.67332786,150.14122,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.7166312702409,0.5654344,0.63200086,166.82358,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.7333136276682,0.54633164,0.6542998,183.50594,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.7499959850956,0.55675834,0.62187886,200.1883,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.7666783425228,0.5870918,0.66492057,216.87065,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.7833606999502,0.5736269,0.6270027,233.55301,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.8000430573775,0.61630815,0.66223764,250.23537,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.8167254148049,0.6222814,0.59497905,266.91772,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.8334077722321,0.63787055,0.66771793,283.60007,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.8500901296595,0.60673374,0.628196,300.28244,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.8667724870868,0.6401838,0.6350192,316.96478,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.8834548445142,0.5995359,0.6291402,333.64716,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.9001372019414,0.6063532,0.5865866,350.3295,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.9168195593688,0.6292111,0.6053091,367.01187,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.9335019167961,0.63799304,0.6018493,383.6942,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.9501842742235,0.6050331,0.60916305,400.3766,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.9668666316508,0.6069114,0.5761379,417.05893,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
719.9835489890781,0.65300053,0.59121734,433.7413,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
720.0002313465054,0.632884,0.60225266,450.42365,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
720.0169137039328,0.6783753,0.6198328,467.10602,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
720.0335960613601,0.666027,0.6079643,483.78836,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
720.0502784187875,0.66805136,0.56573355,500.47073,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
720.0669607762147,0.669688,0.603116,517.1531,1,gemini-1.5-flash,detailed,gemini,719.5498076959676,745.5409205677439
